condition	surface	medium	temperature	relative_humidity_pct	strain	halflife_median	halflife_q025	halflife_q975	halflife_formatted	halflife_median_minutes	halflife_q025_minutes	halflife_q975_minutes	halflife_formatted_minutes
Blood_liquid_2022		Blood			2022	64.66903738448923	10.762610413708748	1859.268418477803	64.67 [10.76, 1859.27]	93123.4138336645	15498.158995740596	2677346.522608036	93123.41 [15498.16, 2677346.52]
Feces_liquid_2022		Feces			2022	1.2720076560493536	1.0776779332399375	1.5606840811957443	1.27 [1.08, 1.56]	1831.6910247110693	1551.8562238655102	2247.3850769218716	1831.69 [1551.86, 2247.39]
Saliva_liquid_2022		Saliva			2022	6.413464335965547	4.733438886388576	10.183682806934026	6.41 [4.73, 10.18]	9235.388643790388	6816.15199639955	14664.503241984998	9235.39 [6816.15, 14664.50]
Semen_liquid_2022		Semen			2022	4.637713811616398	3.895943949182369	5.538246358694599	4.64 [3.90, 5.54]	6678.307888727613	5610.159286822612	7975.074756520223	6678.31 [5610.16, 7975.07]
Serum_0%_liquid_2022		Serum			2022	0.6688530652138738	0.49429884420888837	0.9152533835131048	0.67 [0.49, 0.92]	963.1484139079782	711.7903356607993	1317.964872258871	963.15 [711.79, 1317.96]
Serum_100%_liquid_2022		Serum			2022	1.946692126657569	1.694973800891607	2.2474053336828175	1.95 [1.69, 2.25]	2803.2366623868993	2440.762273283914	3236.2636805032575	2803.24 [2440.76, 3236.26]
Serum_40%_liquid_2022		Serum			2022	1.4953941175338759	1.2787134270806133	1.7667652436684043	1.50 [1.28, 1.77]	2153.3675292487815	1841.3473349960832	2544.1419508825024	2153.37 [1841.35, 2544.14]
Serum_80%_liquid_2022		Serum			2022	1.7640744831855444	1.5581816503800558	2.033750577120041	1.76 [1.56, 2.03]	2540.267255787184	2243.7815765472806	2928.600831052859	2540.27 [2243.78, 2928.60]
Urine_liquid_2022		Urine			2022	1.6882765177248624	1.3635247943514484	2.178071948631793	1.69 [1.36, 2.18]	2431.118185523802	1963.4757038660855	3136.4236060297826	2431.12 [1963.48, 3136.42]
di_water_1.0_2022		di_water			2022	0.024073270940886654	0.01920912812130615	0.03234384961824	0.02 [0.02, 0.03]	34.66551015487678	27.66114449468086	46.57514345026561	34.67 [27.66, 46.58]
di_water_10.0_2022		di_water			2022	0.00012043692106186924	0.00007049115564919214	0.0002380138696602375	0.00 [0.00, 0.00]	0.17342916632909172	0.10150726413483668	0.34273997231074205	0.17 [0.10, 0.34]
di_water_5.0_2022		di_water			2022	0.0008185875703886168	0.0005948241970392886	0.0011700022723291456	0.00 [0.00, 0.00]	1.1787661013596082	0.8565468437365756	1.6848032721539696	1.18 [0.86, 1.68]
di_water_control_2022		di_water			2022	59.99536931446326	22.28866056795153	1291.7073261329838	60.00 [22.29, 1291.71]	86393.33181282709	32095.67121785021	1860058.5496314967	86393.33 [32095.67, 1860058.55]
wastewater_1.0_2022		wastewater			2022	0.03592754246363759	0.02332557925292092	0.06977232861295674	0.04 [0.02, 0.07]	51.73566114763814	33.58883412420612	100.4721532026577	51.74 [33.59, 100.47]
wastewater_10.0_2022		wastewater			2022	0.0008090933705656334	0.0007350921739484702	0.0009080310991547702	0.00 [0.00, 0.00]	1.165094453614512	1.058532730485797	1.307564782782869	1.17 [1.06, 1.31]
wastewater_5.0_2022		wastewater			2022	0.005656008187907536	0.004434289451770995	0.0073276528547260855	0.01 [0.00, 0.01]	8.144651790586849	6.385376810550232	10.551820110805563	8.14 [6.39, 10.55]
wastewater_control_2022		wastewater			2022	5.6787691527326265	4.5371229528924975	7.463256777009652	5.68 [4.54, 7.46]	8177.427579934982	6533.457052165197	10747.089758893899	8177.43 [6533.46, 10747.09]
